33.97,27.93
30.00,23.31
32.90,20.02
31.28,14.52
47.35,26.15
21.99,17.77
38.88,20.01
37.11,20.13
32.89,21.83
39.69,15.61
12.86,22.89
19.94,25.89
14.78,12.81
29.63,17.65
41.49,14.10
44.32,20.15
30.50,13.15
43.17,22.46
26.70,25.18
56.17,17.32
35.83,25.66
13.93,14.53
36.78,25.46
22.24,9.18
26.40,21.03
43.34,9.52
23.31,20.37
39.76,23.14
31.19,23.87
37.28,28.79
43.84,12.78
38.66,21.67
25.88,14.70
33.28,19.51
43.73,24.00
15.45,24.98
25.42,29.20
38.65,22.81
32.59,9.16
30.23,24.94
27.32,24.71
9.85,25.70
25.81,14.60
18.50,14.84
25.29,20.67
23.00,19.41
25.88,27.56
22.78,18.06
13.99,23.94
28.64,21.61
24.57,28.90
28.02,15.46
40.14,18.79
27.49,21.02
18.82,17.31
22.70,16.13
26.73,23.95
25.92,21.38
30.30,20.51
38.41,24.24
23.01,27.34
42.91,16.14
17.05,18.81
34.06,21.80
39.17,15.53
29.53,20.09
6.37,24.32
39.94,19.65
36.91,17.58
36.53,19.51
35.66,19.16
22.30,19.90
42.48,23.29
40.91,28.17
19.20,24.62
33.09,11.92
23.94,23.95
30.30,14.50
35.88,11.83
26.84,15.57
9.91,19.16
47.79,18.75
22.23,13.09
40.42,6.58
12.83,21.56
17.12,20.02
22.55,28.96
37.37,17.65
27.20,14.29
29.88,13.28
21.03,28.18
34.99,21.29
44.03,14.89
31.83,21.20
40.34,12.57
13.14,17.63
25.96,26.11
33.11,25.58
17.82,18.95
11.10,19.89
25.84,30.96
30.66,15.16
38.40,18.77
26.97,22.71
41.27,20.59
19.32,12.33
16.17,24.33
12.41,9.96
31.51,11.10
20.97,31.31
26.33,16.71
52.53,14.82
21.00,19.64
15.20,23.64
33.45,21.51
33.57,19.76
22.56,28.68
21.11,24.89
25.88,9.78
22.13,23.19
16.27,19.64
39.89,17.31
24.88,20.27
20.07,18.32
31.34,19.05
37.65,13.10
16.08,15.36
38.93,20.49
14.81,21.31
30.56,20.79
34.18,17.98
41.78,20.69
37.97,23.66
31.15,19.38
34.10,17.69
30.40,15.39
35.14,29.72
17.40,24.98
27.36,26.12
44.85,16.83
22.22,16.44
23.43,13.09
32.01,20.15
44.43,9.84
13.87,25.61
29.10,23.01
23.60,26.18
28.90,26.16
34.24,18.00
20.46,19.50
32.54,24.54
38.72,20.28
20.45,20.06
55.59,15.81
41.81,22.30
18.32,21.50
45.30,14.69
31.35,16.85
33.02,23.17
25.42,20.55
24.73,14.81
35.93,20.21
21.15,16.26
28.44,23.60
12.51,15.92
33.31,22.50
30.45,9.29
35.06,33.44
25.87,22.87
13.36,18.96
37.21,16.13
41.62,21.95
43.77,22.86
10.05,20.95
31.02,18.63
15.90,27.69
18.91,22.96
20.89,19.26
37.38,15.79
22.16,31.46
36.24,33.12
22.73,16.74
24.46,21.43
16.73,22.73
31.43,17.30
26.03,16.06
26.57,14.50
39.64,19.95
22.78,15.59
34.82,20.90
31.91,15.48
27.67,21.31
34.51,23.08
43.16,13.03
40.62,10.79
26.16,22.70
10.60,14.81
18.52,16.48
34.60,28.99
54.97,28.29
61.18,13.34
18.48,24.99
47.43,24.38
25.38,21.32
38.73,20.59
34.87,30.91
26.94,21.92
23.47,22.84
28.40,16.29
33.61,16.66
35.24,20.86
36.87,9.82
35.82,20.05
29.31,17.41
28.41,13.28
25.20,22.59
30.61,13.40
35.23,22.64
11.45,18.47
27.68,20.70
36.59,24.02
58.63,13.65
32.59,23.70
40.45,22.37
36.35,21.45
32.41,17.57
32.74,28.38
15.37,23.28
23.92,18.46
40.42,23.48
33.06,22.23
10.69,21.73
23.75,16.85
13.61,25.26
42.18,26.03
41.25,19.57
30.98,12.44
24.89,25.21
41.27,29.49
29.42,18.53
34.51,20.22
20.06,21.32
32.21,21.39
20.64,17.67
43.08,18.93
23.95,18.49
40.53,21.21
39.72,19.10
52.78,17.33
24.86,21.58
28.52,10.70
42.16,22.76
31.50,13.83
37.61,15.34
44.58,19.76
30.74,21.99
34.15,29.45
43.99,18.13
40.64,25.34
31.49,23.61
21.79,15.98
43.33,23.89
39.34,16.54
11.05,16.04
22.76,18.02
37.22,19.08
20.59,18.23
7.24,19.94
46.84,26.07
20.24,21.35
29.60,17.96
22.71,11.92
4.43,12.81
36.71,22.97
31.08,21.38
29.13,16.36
46.35,21.72
32.86,12.88
35.78,23.76
32.69,31.28
27.74,27.80
26.76,22.21
27.52,22.43
27.58,19.60
18.56,5.96
23.82,14.95
26.63,21.39
37.22,21.35
36.04,25.35
19.99,19.66
56.27,20.93
22.64,22.38
26.19,12.29
26.92,18.63
12.24,14.81
31.36,20.14
31.63,19.62
20.87,15.37
22.79,23.75
40.73,19.68
27.13,13.53
23.32,15.92
26.53,17.29
25.45,17.58
15.95,24.36
45.73,28.29
35.20,19.44
25.62,18.30
29.40,16.68
35.88,20.28
19.62,20.16
24.63,20.22
36.14,19.76
21.29,22.65
25.35,19.96
25.70,17.87
26.69,19.71
41.60,16.19
38.37,22.38
10.31,15.01
29.13,19.57
39.96,22.84
16.61,14.61
33.83,21.79
7.37,30.27
33.73,14.10
27.59,21.65
30.98,17.70
18.76,21.26
35.25,20.08
63.41,14.11
31.35,11.91
20.25,24.45
