0,1.00
5,1.09
10,1.17
15,1.26
20,1.34
25,1.42
30,1.50
35,1.57
40,1.64
45,1.71
50,1.77
55,1.82
60,1.87
65,1.91
70,1.94
75,1.97
80,1.98
85,2.00
90,2.00
95,2.00
100,1.98
105,1.97
110,1.94
115,1.91
120,1.87
125,1.82
130,1.77
135,1.71
140,1.64
145,1.57
150,1.50
155,1.42
160,1.34
165,1.26
170,1.17
175,1.09
180,1.00
185,0.91
190,0.83
195,0.74
200,0.66
205,0.58
210,0.50
215,0.43
220,0.36
225,0.29
230,0.23
235,0.18
240,0.13
245,0.09
250,0.06
255,0.03
260,0.02
265,0.00
270,0.00
275,0.00
280,0.02
285,0.03
290,0.06
295,0.09
300,0.13
305,0.18
310,0.23
315,0.29
320,0.36
325,0.43
330,0.50
335,0.58
340,0.66
345,0.74
350,0.83
355,0.91
